8018 ; capteur   3 ; 57.04 ; mm
8030 ; capteur   4 ; 63.82 ; mm
8040 ; temperature ; 25.86 ; °C
8054 ; capteur   1 ; 65.14 ; mm
8066 ; capteur   2 ; 72.26 ; mm
8078 ; capteur   3 ; 56.18 ; mm
8090 ; capteur   4 ; 64.32 ; mm
8100 ; temperature ; 25.86 ; °C
8114 ; capteur   1 ; 65.68 ; mm
8125 ; capteur   2 ; 72.80 ; mm
8138 ; capteur   3 ; 55.62 ; mm
8150 ; capteur   4 ; 63.76 ; mm
8160 ; temperature ; 25.86 ; °C
8174 ; capteur   1 ; 64.36 ; mm
8186 ; capteur   2 ; 72.36 ; mm
8198 ; capteur   3 ; 55.94 ; mm
8210 ; capteur   4 ; 65.46 ; mm
8220 ; temperature ; 25.86 ; °C
8234 ; capteur   1 ; 64.78 ; mm
8245 ; capteur   2 ; 72.10 ; mm
8257 ; capteur   3 ; 55.90 ; mm
8270 ; capteur   4 ; 64.14 ; mm
8280 ; temperature ; 25.86 ; °C
8294 ; capteur   1 ; 64.36 ; mm
8306 ; capteur   2 ; 71.76 ; mm
8318 ; capteur   3 ; 56.06 ; mm
8330 ; capteur   4 ; 63.94 ; mm
8340 ; temperature ; 25.86 ; °C
8354 ; capteur   1 ; 64.02 ; mm
8366 ; capteur   2 ; 72.10 ; mm
8377 ; capteur   3 ; 55.80 ; mm
8390 ; capteur   4 ; 64.40 ; mm
8400 ; temperature ; 25.86 ; °C
8414 ; capteur   1 ; 64.36 ; mm
8426 ; capteur   2 ; 72.40 ; mm
8438 ; capteur   3 ; 56.46 ; mm
8450 ; capteur   4 ; 64.18 ; mm
8460 ; temperature ; 25.94 ; °C
8474 ; capteur   1 ; 64.26 ; mm
8486 ; capteur   2 ; 73.38 ; mm
8497 ; capteur   3 ; 56.20 ; mm
8510 ; capteur   4 ; 63.94 ; mm
8520 ; temperature ; 25.94 ; °C
8534 ; capteur   1 ; 64.82 ; mm
8546 ; capteur   2 ; 72.40 ; mm
8558 ; capteur   3 ; 56.18 ; mm
8570 ; capteur   4 ; 63.46 ; mm
8580 ; temperature ; 26.02 ; °C
8594 ; capteur   1 ; 64.32 ; mm
8606 ; capteur   2 ; 72.66 ; mm
8617 ; capteur   3 ; 55.54 ; mm
8630 ; capteur   4 ; 64.26 ; mm
8640 ; temperature ; 26.02 ; °C
8654 ; capteur   1 ; 63.50 ; mm
8666 ; capteur   2 ; 72.80 ; mm
8678 ; capteur   3 ; 55.68 ; mm
8690 ; capteur   4 ; 62.54 ; mm
8700 ; temperature ; 26.10 ; °C
8714 ; capteur   1 ; 63.52 ; mm
8726 ; capteur   2 ; 72.52 ; mm
8737 ; capteur   3 ; 56.48 ; mm
8750 ; capteur   4 ; 63.72 ; mm
8760 ; temperature ; 26.10 ; °C
8774 ; capteur   1 ; 62.90 ; mm
8786 ; capteur   2 ; 73.14 ; mm
8798 ; capteur   3 ; 56.08 ; mm
8810 ; capteur   4 ; 62.70 ; mm
8820 ; temperature ; 26.18 ; °C
8834 ; capteur   1 ; 63.54 ; mm
8846 ; capteur   2 ; 72.52 ; mm
8857 ; capteur   3 ; 55.36 ; mm
8869 ; capteur   4 ; 62.96 ; mm
8880 ; temperature ; 26.27 ; °C
8894 ; capteur   1 ; 63.86 ; mm
8906 ; capteur   2 ; 72.94 ; mm
8918 ; capteur   3 ; 55.30 ; mm
8930 ; capteur   4 ; 62.76 ; mm
8940 ; temperature ; 26.27 ; °C
8954 ; capteur   1 ; 63.08 ; mm
8966 ; capteur   2 ; 71.62 ; mm
8978 ; capteur   3 ; 54.94 ; mm
8989 ; capteur   4 ; 62.18 ; mm
9000 ; temperature ; 26.35 ; °C
9014 ; capteur   1 ; 62.78 ; mm
9026 ; capteur   2 ; 72.68 ; mm
9038 ; capteur   3 ; 56.08 ; mm
9050 ; capteur   4 ; 63.10 ; mm
9060 ; temperature ; 26.43 ; °C
9074 ; capteur   1 ; 62.60 ; mm
9086 ; capteur   2 ; 72.54 ; mm
9098 ; capteur   3 ; 55.70 ; mm
9109 ; capteur   4 ; 61.86 ; mm
9120 ; temperature ; 26.51 ; °C
9134 ; capteur   1 ; 62.22 ; mm
9146 ; capteur   2 ; 72.30 ; mm
9158 ; capteur   3 ; 55.16 ; mm
9170 ; capteur   4 ; 62.82 ; mm
9180 ; temperature ; 26.51 ; °C
9194 ; capteur   1 ; 63.00 ; mm
9206 ; capteur   2 ; 72.34 ; mm
9218 ; capteur   3 ; 54.98 ; mm
9229 ; capteur   4 ; 61.78 ; mm
9240 ; temperature ; 26.59 ; °C
9253 ; capteur   1 ; 62.48 ; mm
9266 ; capteur   2 ; 72.60 ; mm
9278 ; capteur   3 ; 55.00 ; mm
9290 ; capteur   4 ; 62.24 ; mm
9300 ; temperature ; 26.68 ; °C
9314 ; capteur   1 ; 62.66 ; mm
9326 ; capteur   2 ; 72.90 ; mm
9338 ; capteur   3 ; 55.10 ; mm
9349 ; capteur   4 ; 61.74 ; mm
9361 ; temperature ; 26.76 ; °C
9373 ; capteur   1 ; 63.02 ; mm
9386 ; capteur   2 ; 72.86 ; mm
9398 ; capteur   3 ; 54.62 ; mm
